25 20
 ############
#............#    ######
#...s........#####......#
#.K....................#
#...........######......#
#.....s.....#    #....s.#
#...........#    #..z...#
#...........#    #......#
 ####...####      ##D###
    #...#          #..#
    #...#          #..#
    #...#         ##..##
   ##...##       #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #..S....#      #......#
   #######        ##D###
